BLOCK_TIMESTAMP,TX_ID,SWAPPER,ROUTE,AMOUNT,AMOUNT_USD,SWAP_PROGRAM
2022-07-02 00:46:04.000,5dRfhE9qLxKbbTm7iXX9WFt8hgpJBmefC9i3VAPi9jULkgmJwo5V1d3TzETN3xNDvAxspSmRqLrJcBcfFa97bxs7,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDC->USDCET,1,1,jupiter aggregator v3
2022-07-02 23:53:58.000,4beFzwRf2E2qiNmrWRvDFrC2qAd4bP1Sb4TCkx7Z34jEESK34LdnkSSjSEbPi4vgHYtDCHFvyFUcZfqkiWkXjyh7,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDH->USDC,665483.513265,652029.73,jupiter aggregator v3
2022-07-02 22:33:38.000,NoW32ZzkADJVRmJCXcHoV9ee9SsQg8f1b8HR6jAKs3pCncYEqAMSjcsCdRUw8dRK5AywSMrj12dm1vTkWnpZ4u4,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDH->MSOL,200000,192810.63,jupiter aggregator v3
2022-07-03 00:18:10.000,4nDXu6CDfysoV1tDvcGJtaHMDozsPuDCCxAa669CsgwMQQ5ZDwvqSqGUyMTg3dqf5bSqAVVutH4bq6J7WXqwmLqx,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,MSOL->SOL,0.283583514,10.01,Saber Router
2022-07-03 00:32:17.000,3m4MDRGAxSVv3Fyw3ng3MWrw4Rkvu2YwXXZjAZ8xYkPa9vRDcqecCnHzxReThzsW8VBK2hhpuYiB46qVEQZ6Jvnc,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,STSOL->SOL,955.596755572,33476.63,Saber Router
2022-07-03 00:46:29.000,5xw6fqp9RsBLjx4DKM6QNDJVvFspZCx3oM1RgaAVzZ9T8JRemM8FrcLSZZatHeRZ9SzdB4nchWMXhsTEJwrRGA2D,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDT->SOL,0.184186,0.19,jupiter aggregator v3
2022-07-03 00:17:07.000,5p5J5wW3XfGqddRJUtMjdGCPMCfTRTB4nc2k9QRa6fK6Jk9sBhFGbXTkkuvLtEFFFLitLPYNmQMkqNwwjJ5v2oQd,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,USDCET->MSOL,10,10.01,jupiter aggregator v3
2022-07-03 00:40:09.000,2G7ewJ2cAEj74p6BZMcauSsosi8XKkoBbS4eH92QumVKmQZx1XT6uygVQ5SjC6zUcfR3Dgvov9i61mRj1mgNWdSV,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,10000,329554.55,jupiter aggregator v3
2022-07-03 00:58:23.000,3rCsSaKTgW1oFWzeSUCfLSjE2tZ5vKcqmhabzVQhGbkNrMkUWKkakuAS2vHxktHi1kfCbwDfhk3xBWCd8gFSR9W7,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,10000,327346.9,jupiter aggregator v3
2022-07-03 00:09:21.000,5f4rrUWwYSMCCByUf3SN6WNoLaz5YcFtUyKs2QrZCSQXPnZZQNPfDAKw3Rt5tW6znfvGP697C1Tx8y2fNprT7fQC,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,10000,332104.45,jupiter aggregator v3
2022-07-03 00:54:41.000,3RzBmjWY3CKL9UxhDYYyd6gs5ffTJUQ3DedE9oyUfAsGExa7EAqwYwoexV7tWHwzcRNvnDWsJS4Lt4246w9CyCYD,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,10000,328889.75,jupiter aggregator v3
2022-07-03 01:01:22.000,4q9Hz8X3HJJ1ySyPwphKWPhWk7rkJD63UzvggU1KPx8ddTsC5GBzxucEdF4Db7L3P1bCT4dSJKGbdEEH2ZriCCvK,Esmx2QjmDZMjJ15yBJ2nhqisjEt7Gqro4jSkofdoVsvY,SOL->USDCET,3010.1,99199.94,jupiter aggregator v3
﻿
