EVENT,BLOCK_TIMESTAMP,TX_ID,SENDER,ROUTE,SYMBOL,TOKEN_ADDRESS,AMOUNT,AMOUNT_USD
Transfered,2022-03-23 11:16:51.000,2gSYvE3WJphrGhFB5Vn1xZbz5J9pZ2zn6HH98tegKmRco11FU86Udj7AgMSRhUYNWTpNV9fX22S5oFxuUdsnBd4h,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,101.28,101.28
Transfered,2022-03-23 09:33:27.000,4m8oRev5ZdmkwK6A9TRsVnT2m9rKdAu4i1om2SSkioPySnNd58ryj4jheYYbT84FmqQtYp46N5N4PJuuEXndKAxX,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,458.12,458.11
Transfered,2022-03-23 10:00:26.000,4QtZ53C9gqcoSLegC6LLkHjia11x6nM9VK5SniFn7wYDwZ4hGwhFeLEojXfJxfY8CTN5DqHQoSDV9nJ9VwjXtzBm,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,13040.3,13039.94
Transfered,2022-03-23 10:15:02.000,47nLNQZzvZDjjufZw5SQR9d9pskAansZvsWQoGdHkeVJ3akdcU4gYQTWHRfMrstM14iQMjutDovh1aFQETVw6ab4,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,9008.9,9008.65
Transfered,2022-03-23 11:36:23.000,2XCs8iKcFUEWtUQJJMZ3HeEdzYzSFh6PDYcmN65LtM3vRMJWLA74iudvCrvcWeYCHhQivg6jDHhiMSx4Gtru74q,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,997.13,997.1
Transfered,2022-03-23 10:42:19.000,MXRUSwxrfC5b5TJ7GgS2ov2L4GdGGoqmonojCUVX6mFoJimQnVbP3SFKoKsfTYPpFNascPynzt2Ag7WfCv9we5U,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,408.37,408.36
Transfered,2022-03-23 11:09:26.000,JpTHEFHXcWvHC6MVACvZFPNzuW6DZ8vyKRLxgu6hw645K6XvQERUjHpKxdTLvHfTDeqyFHdaKNGCqgMYq3rCgcJ,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,103.9,103.9
Transfered,2022-03-23 10:36:31.000,mZpYaMWiprhTBiZ28ddDNsZAumWMXTA7ojTvnNpm6Jowm38JSU8m2tRJDPzShg4UYExCtq94PPNJgTDLrSERdTb,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1238.65,1238.61
Transfered,2022-03-23 10:32:28.000,2aPZmtU8jxS9n7FWQZEHq9Tk8UzbfHyyHtXmqUh2WVpcWX34qwxqyMELrQbkQUThY2RnMGNzogmXhBUooTAjXzVy,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1570.76,1570.72
Transfered,2022-03-23 11:28:47.000,3kGjvj1CzpAwoqFPP3qaKzNerCNRr8resZ8kunHpa7P6bHn74dV272LyYpzy7o8Hv9eQJhXpaTFqR3Ty1VHvxoag,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,14939.3,14938.88
Transfered,2022-03-23 09:08:27.000,5scAL6WiENGa1Bd8QTkfpSpLFvFQAFdT8zuPAxYtGJ4qTksnRkccP6pvnmfuCE9agYJtTX1R9PUmi6ZjfAm4Z95D,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,59119.92,59118.28
Transfered,2022-03-23 10:36:59.000,5g785V8DVZthRsxvVsrJZGV5nEtyDLb55d4pjKRnLkX8TPi3u5Yt4w5u5LZs8X4DTy986RNLbLjuVK9eprHzN3vh,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1122.8,1122.77
Transfered,2022-03-23 11:42:06.000,UwNd7mAe3ng8fLB4H3FH8ZRQa9jDgzWF8eFWrEsxEegWo8p5333UnXUgcfmNz5TuWtkR9VtSRrzpjxykGmRUuUg,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,199.7,199.69
Transfered,2022-03-23 10:31:46.000,62BgbRq5uBKkVBQwzAokLrsPqL7ybJ4tWMkhUWDisYqTaavqjwkyiLD9d32BBpM52WniaACZphE7hVT1YaVKcNdN,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1974.49,1974.43
Transfered,2022-03-23 10:16:46.000,4WF9BGSCwvKbXz9Zx1PMr6dZPVP963ET7p5LCqaeQQp4J6anuYDkLAdKjbCBryPGcfhxQHK8vqi94ArdrNJiNVyu,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4989.48,4989.34
Transfered,2022-03-23 10:48:54.000,WeJfTJkTpcJitMDNkBxPhsg7QLtBYHxfMWBHipjR1PmCKZ6kWSF6RZ92i5jbLFwttC6rDisHDb3H6hxHkMnDvan,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,199.03,199.03
Transfered,2022-03-23 10:41:16.000,YeQiYUWkmCvsa6eLvtwTuFMKeyyxb7DcmkVBSc54BcqSdQfNjDcdA354f1a8irgvPkdgF87agPgVtq16heZwTZQ,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,500,499.99
Transfered,2022-03-23 09:41:03.000,5Key1YYLd3EzLjMSUPtESSmD9hUNgqYCv8uv4wKEmJYckhi6egWgUNXP6tQhV26Aff9nKAsiZiTqusBVzxtTuuuA,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,outbound,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,199.99,199.98
