TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
1,Exploiter Transfered 1001USDC to 12QuvPGbzNQsHCdTyX3u7UVMXmWH3BWnDx8FTB1Gk9LG worth 1000.97USD 1 minutes later,Transfered,2022-03-23 09:14:00.000,UGAaqC3UNU4geJFnqP1b6K3D7v3YvYX7ikuyuQXiJu9QgkYfVqwmVEp9t8CngwjZEdDhReu2vh1pkfVRXPYNcag,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 12QuvPGbzNQsHCdTyX3u7UVMXmWH3BWnDx8FTB1Gk9LG,USDC,1001,1000.97
0,Exploiter Transfered 995.84USDC to F8fbcrgJg92whYqLZAnyzDunWw4zuWS3PRdk2hMp3h6 worth 995.82USD 0 minutes later,Transfered,2022-03-23 09:14:07.000,3puxPpyseYUrcXBojBHaVCemcoaJAzHUVEG6Yd2UEh8PGrGjXmkS1vagvvEXbLbyMBC5cFRPSZxsdNbspc87QXw3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to F8fbcrgJg92whYqLZAnyzDunWw4zuWS3PRdk2hMp3h6,USDC,995.84,995.82
0,Exploiter Transfered 991.69USDC to H6SLhbPfcMidZrTDwMXfv2VM37yY3Via1YmKjJHpNLv1 worth 991.67USD 0 minutes later,Transfered,2022-03-23 09:14:15.000,5LMgRosNm8FNBEW6rSCB8pQaPtjb3wjVrDJuqbV9Di3tW4M1RkGYZNX5aDta8gHsMkaVa3PAsvCm4w3RTKuADAs4,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to H6SLhbPfcMidZrTDwMXfv2VM37yY3Via1YmKjJHpNLv1,USDC,991.69,991.67
0,Exploiter Transfered 946.71USDC to 9hVkNbZQX1dMhJ32DvS7XHPLwawV2VAf6WCHXC5jKXUY worth 946.69USD 0 minutes later,Transfered,2022-03-23 09:14:21.000,64xiEKBRPx2tjnXWYmeUh4KGcKEUnVfiyQCWtmW6CzANhsK3TFRzq7odNm9k8JM8xcVEuEfJP3b2iEb9wFStxGP3,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 9hVkNbZQX1dMhJ32DvS7XHPLwawV2VAf6WCHXC5jKXUY,USDC,946.71,946.69
0,Exploiter Transfered 933.02USDC to Gsw7RHydGj5cBP79cv1a7dPFb9hvRSPAodWyzoNhCaze worth 932.99USD 0 minutes later,Transfered,2022-03-23 09:14:30.000,5kPFVJY8G9hQ2sudBjZVE2PWCbPou19kxo1oW73pdjywjV8qVqi9RwZFxVFVBPUWw1Mdfj6rBiTfJGZu5Lc37kZB,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to Gsw7RHydGj5cBP79cv1a7dPFb9hvRSPAodWyzoNhCaze,USDC,933.02,932.99
0,Exploiter Transfered 883.2USDC to 3e6yzDwVZXof5QrtMMDicMgjmagoDVpckbHBHCKCYmZS worth 883.17USD 0 minutes later,Transfered,2022-03-23 09:14:38.000,5jRvCck9KkYRmG8XJC15MSMQUtifmUDxujDGgWsXnnj1DVoJ6ukFc9acefXESaJHgSSdUKEz1giwco8SgGuEP8zX,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 3e6yzDwVZXof5QrtMMDicMgjmagoDVpckbHBHCKCYmZS,USDC,883.2,883.17
0,Exploiter Transfered 882.8USDC to GFYaWQWDH4UMMDA7nwdQEEfhwbvTU3ye8XVA9JgvXeL9 worth 882.78USD 0 minutes later,Transfered,2022-03-23 09:14:47.000,2M8AovXr95YxjnvSNtqeHSGqvWG4r2A1JuEq1nJaWRBPziDom27VzCw22GHseHpttNdefuTFASGcSrBX3CVchzZP,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to GFYaWQWDH4UMMDA7nwdQEEfhwbvTU3ye8XVA9JgvXeL9,USDC,882.8,882.78
0,Exploiter Transfered 788.23USDC to A6coDPmnjMJL2PtFZBFSSXLbAH7p6q9jcW1euGgCJth5 worth 788.21USD 0 minutes later,Transfered,2022-03-23 09:14:54.000,447PTy5cjJub2ohNexPAXUmBPcswonZfjinFb9JQMEKUydRQWxkBrWL9d2YFDrNgm9KckssiBnT5RGnMmJp711Y5,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to A6coDPmnjMJL2PtFZBFSSXLbAH7p6q9jcW1euGgCJth5,USDC,788.23,788.21
1,Exploiter Transfered 784.65USDC to 6xZgtUcduJ8kPhvRw2Q2eHok3TXvr8zqdsGNF1FRZVW9 worth 784.63USD 1 minutes later,Transfered,2022-03-23 09:15:01.000,CD2MpL8kNTEjGYGYugKcGSc83jqorXejgX2MzYLqrSSDz4fVwTY6DiN4ApskNriDKAdJeajNqSRHu4tAheUg8xt,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to 6xZgtUcduJ8kPhvRw2Q2eHok3TXvr8zqdsGNF1FRZVW9,USDC,784.65,784.63
0,Exploiter Transfered 755.44USDC to CYQda78eQk1GCeXnJ6cBZEcUuQKEM3EkAArWofpBonJK worth 755.42USD 0 minutes later,Transfered,2022-03-23 09:15:24.000,4PtT4apePxgp85RwygM9xZQxuFFM3Az83sB5RfSPUQNB1XgoPi5KWMsdRspD4v9uqwkSpYM72RmFVr9Ar9EWYLmN,6D7fgzpPZXtDB6Zqg3xRwfbohzerbytB2U5pFchnVuzw,to CYQda78eQk1GCeXnJ6cBZEcUuQKEM3EkAArWofpBonJK,USDC,755.44,755.42
