TIMESPAN,PLATFORM,DIRECTION,SYMBOL,AMOUNT,AMOUNT_USD
2022-03-18 10:45:00.000,wormhole,inbound,ETH,0.01,28.354465779
2022-03-18 10:50:00.000,wormhole,outbound,ETH,0.01,28.354465779
2022-03-23 08:49:00.000,wormhole,outbound,USDCET,7970165.413595,7974109.57943535
2022-03-23 08:45:00.000,wormhole,outbound,ETH,2618.3742,7791969.34870015
2022-03-23 08:43:00.000,wormhole,outbound,ETH,1000,2975880.73878063
2022-03-23 11:52:00.000,wormhole,outbound,ETH,155.5995,463045.555013897
2022-03-23 08:52:00.000,wormhole,outbound,UST,29196154.704281,29287515.8357349
﻿
