SYMBOL,VICTIMS,AMOUNT_USD
SOL,7762,1721043.73
USDC,1652,2615773.29
USDT,176,193572.74
ATLAS,173,25985.93
GMT,173,33107.46
SAMO,130,52662.71
WOOF,101,11925.26
CHICKS,97,7830.42
KI,89,128900.3
PLD,81,6287.38
MSOL,75,47478.29
DXL,74,4211.9
SRM,73,5507.33
DUST,71,47427.36
RAY,64,8246.29
GENE,54,13432.93
POLIS,51,11752.53
VISION,50,2349.62
CWAR,47,6639.36
SLC,47,12595.6
﻿
