TIME_GAP,LABELS,NARRATION,BLOCK_TIMESTAMP
0,Hacker_Wallet_1,Exploiter Transfered 6414.57USDC from EtLv5LLcFfbmrFSCLupVHJ4pJfDGUdqgniZXJQDuzLpA worth 6418.82USD 0 minutes later,2022-08-02 22:48:06.000
0,Hacker_Wallet_1,Exploiter Transfered 6286.6USDC from CzFk7VGkyoZubq1Pa4m3RF5ch5gWV8JYYFJY3LKoY8D8 worth 6290.77USD 0 minutes later,2022-08-02 22:48:08.000
0,Hacker_Wallet_1,Exploiter Transfered 131.84SOL from 8siZaiF46kiNkAqxfgi6Qqpmnawbr8Hngw7YW16MFRLw worth 5390.18USD 0 minutes later,2022-08-02 22:48:08.000
0,Hacker_Wallet_1,Exploiter Transfered 5026.31USDC from 8siZaiF46kiNkAqxfgi6Qqpmnawbr8Hngw7YW16MFRLw worth 5029.65USD 0 minutes later,2022-08-02 22:48:11.000
0,Hacker_Wallet_1,Exploiter Transfered 138.09SOL from DQET67NGB971xRMKy5hHBVNmmgSwtdbprEZcXXBjXzfv worth 5645.54USD 0 minutes later,2022-08-02 22:48:12.000
0,Hacker_Wallet_1,Exploiter Transfered 6123.81USDC from 5uQNJUaKVgGkCx7UjLBoghoiJRQm9WXs5DV6ztmC2QqY worth 6127.87USD 0 minutes later,2022-08-02 22:48:14.000
0,Hacker_Wallet_1,Exploiter Transfered 5980.8USDC from CkVWQBBBZe7APifCR5d9nY1c2jeVmrwpz1fy95f8KEGC worth 5984.77USD 0 minutes later,2022-08-02 22:48:14.000
0,Hacker_Wallet_1,Exploiter Transfered 129.1SOL from 66scWnKdhvh3BPcoQicErzxgGCRxBY6abNrwxba4HGBH worth 5277.93USD 0 minutes later,2022-08-02 22:48:17.000
0,Hacker_Wallet_1,Exploiter Transfered 132.13SOL from Bx85RBoBRA1c6bJDg7xSt7m1jyuTCcmaeo5x7YTC3qWv worth 5401.79USD 0 minutes later,2022-08-02 22:48:17.000
0,Hacker_Wallet_1,Exploiter Transfered 3566.16USDC from CcFBnwGftq1fWPs63Bi6hEK1qqATs3ekV8PMj2pYTDnC worth 3568.52USD 0 minutes later,2022-08-02 22:48:21.000
0,Hacker_Wallet_1,Exploiter Transfered 5465.06USDC from AFNKpXhETNEWY56UZsvP9LYiD4GqxxEiTxdoMy53dhf1 worth 5468.68USD 0 minutes later,2022-08-02 22:48:23.000
0,Hacker_Wallet_1,Exploiter Transfered 61.7SOL from HQA58AuLse6CRQpEvjiiNcjFmgp6GWFpvTzPmdQJMq2S worth 2522.4USD 0 minutes later,2022-08-02 22:48:24.000
0,Hacker_Wallet_1,Exploiter Transfered 5396.13USDC from 6NheQpky88wAMkzsju1dzqpzoHYR7tPukh6caDA6gvnB worth 5399.71USD 0 minutes later,2022-08-02 22:48:25.000
0,Hacker_Wallet_1,Exploiter Transfered 5355.14USDC from 7pkxz3w4Q91Mx43oJtdXDBCPKkT3uGHoMAAz3opsq9mA worth 5358.69USD 0 minutes later,2022-08-02 22:48:25.000
0,Hacker_Wallet_1,Exploiter Transfered 5322.7USDC from 8ih7L7FZSXA3hw8HiMCmk8eFbeBQqso7PsfpnxX9gfSq worth 5326.23USD 0 minutes later,2022-08-02 22:48:28.000
0,Hacker_Wallet_1,Exploiter Transfered 4751.76USDC from GLreZN5tEzPFoJVcmjEmzHdAbYcZB41rFPeBNqpckFKH worth 4754.91USD 0 minutes later,2022-08-02 22:48:29.000
0,Hacker_Wallet_1,Exploiter Transfered 4189.5SHDW from GLreZN5tEzPFoJVcmjEmzHdAbYcZB41rFPeBNqpckFKH worth 1827.19USD 0 minutes later,2022-08-02 22:48:30.000
0,Hacker_Wallet_1,Exploiter Transfered 71260.05NINJA from GLreZN5tEzPFoJVcmjEmzHdAbYcZB41rFPeBNqpckFKH worth 2563.06USD 0 minutes later,2022-08-02 22:48:31.000
