DATE1,TIMEFRAME,LOW,HIGH,OPEN,CLOSE
2025-04-29 00:00:00.000,After_hack,0.01764541,0.01915260959,0.01794641,0.01915260959
2025-04-28 00:00:00.000,After_hack,0.01754513,0.01825318,0.01764165,0.01794161
2025-04-27 00:00:00.000,After_hack,0.01744275,0.01817385,0.01817385,0.01747029
2025-04-26 00:00:00.000,After_hack,0.01719858,0.01830672,0.01785134,0.01824626
2025-04-25 00:00:00.000,After_hack,0.01699993,0.01787971,0.01700991,0.01785229
2025-04-24 00:00:00.000,After_hack,0.01689271,0.01819883,0.01689271,0.01701001
2025-04-23 00:00:00.000,After_hack,0.01648273,0.01818723,0.01653733,0.01689199
2025-04-22 00:00:00.000,After_hack,0.01655455,0.0171144,0.01670695,0.01655455
2025-04-21 00:00:00.000,After_hack,0.01643301,0.01679319,0.01649808,0.01670715
2025-04-20 00:00:00.000,After_hack,0.01640369,0.01714186,0.01707115,0.01640477
2025-04-19 00:00:00.000,After_hack,0.01626598,0.01707926,0.01676686,0.01707926
2025-04-18 00:00:00.000,After_hack,0.01614457,0.01690481,0.01644395,0.01677007
2025-04-17 00:00:00.000,After_hack,0.01608141,0.017663,0.01712185,0.01640311
2025-04-16 00:00:00.000,After_hack,0.01682878,0.01750508,0.01744593,0.01707724
2025-04-15 00:00:00.000,After_hack,0.01742418,0.01795548,0.01790346,0.01742418
2025-04-14 00:00:00.000,After_hack,0.01774715,0.01840137,0.01796925,0.01775581
2025-04-13 00:00:00.000,After_hack,0.01734274,0.01821282,0.01819145,0.01797617
2025-04-12 00:00:00.000,After_hack,0.01722574,0.01849114,0.01798976,0.01819029
2025-04-11 00:00:00.000,After_hack,0.01723584,0.01798888,0.01769776,0.01798888
2025-04-10 00:00:00.000,After_hack,0.01723232,0.01900169,0.01892593,0.01776048
2025-04-09 00:00:00.000,After_hack,0.01747065,0.01916489,0.01823277,0.01849314
2025-04-08 00:00:00.000,After_hack,0.01774568,0.01850469,0.01797747,0.01819719
2025-04-07 00:00:00.000,After_hack,0.01760996,0.01877719,0.01877719,0.01761743
2025-04-06 00:00:00.000,After_hack,0.01880504,0.02026631,0.01997717,0.01880504
2025-04-05 00:00:00.000,After_hack,0.01959091,0.02011233,0.01961873,0.01977766
2025-04-04 00:00:00.000,After_hack,0.01972758,0.02014983,0.02014845,0.01974912
2025-04-03 00:00:00.000,After_hack,0.01993374,0.02067124,0.02062655,0.02017252
2025-04-02 00:00:00.000,After_hack,0.02013628,0.02107859,0.02033732,0.02083565
2025-04-01 00:00:00.000,After_hack,0.0202513,0.02081044,0.02069113,0.02033932
2025-03-31 00:00:00.000,After_hack,0.02011383,0.02081543,0.02011383,0.02081543
2025-03-30 00:00:00.000,After_hack,0.02024934,0.02050501,0.02027934,0.02027537
2025-03-29 00:00:00.000,After_hack,0.02018181,0.02150297,0.02122504,0.02028331
2025-03-28 00:00:00.000,After_hack,0.02044737,0.02193477,0.02075376,0.02114671
2025-03-27 00:00:00.000,After_hack,0.02006139,0.0214612,0.02035058,0.02093156
2025-03-26 00:00:00.000,After_hack,0.01996756,0.02187652,0.02185355,0.02036819
2025-03-25 00:00:00.000,After_hack,0.02184348,0.02245617,0.02232415,0.02184657
2025-03-24 00:00:00.000,After_hack,0.02220784,0.02262911,0.02259264,0.02232204
2025-03-23 00:00:00.000,After_hack,0.0222101,0.02294793,0.02241741,0.02261026
2025-03-22 00:00:00.000,After_hack,0.02193662,0.02291051,0.02219529,0.02291051
2025-03-21 00:00:00.000,After_hack,0.02185928,0.0227,0.02220153,0.02240943
2025-03-20 00:00:00.000,After_hack,0.02079244,0.02270798,0.02179452,0.02196146
2025-03-19 00:00:00.000,After_hack,0.02020662,0.0220706,0.02050494,0.02185085
2025-03-18 00:00:00.000,After_hack,0.01955961,0.0212527,0.02021912,0.02037597
2025-03-17 00:00:00.000,After_hack,0.01844122,0.02076014,0.01924249,0.02015555
2025-03-16 00:00:00.000,After_hack,0.01783803,0.02434751,0.01800135,0.0185917
2025-03-15 00:00:00.000,After_hack,0.01780066,0.01833493,0.01833493,0.01799982
2025-03-14 00:00:00.000,After_hack,0.01733859,0.0184274,0.01733859,0.01832311
2025-03-13 00:00:00.000,After_hack,0.01759473,0.01942364,0.01908045,0.01759473
2025-03-12 00:00:00.000,After_hack,0.01932188,0.02802537,0.02400273,0.01940641
