TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 7500USDC to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 7502.91USD 0 minutes later,Transfered,2022-10-11 22:38:15.000,5ovjckXVpLkEC3FdafUpuLiWSKqPkWG5SZ74JrUbZw86vpwgajiJNJjCVHcbAtNkq2BUbdTjwNj4BEQA7vRnYxLH,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,7500,7502.91
0,Exploiter Transfered 24990MNGO from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 985.5USD 0 minutes later,Transfered,2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,MNGO,24990,985.5
0,Exploiter Transfered 139441.42MNGO from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 5498.98USD 0 minutes later,Transfered,2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,MNGO,139441.42,5498.98
0,Exploiter Swapped 45000USDC to 139441.416901MNGO worth 45016.23USD 0 minutes later,Swapped,2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,to 139441.416901MNGO,USDC,45000,45016.23
0,Exploiter Transfered 0USDC from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 0USD 0 minutes later,Transfered,2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,0,0
0,Exploiter Transfered 45000USDC to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 45017.48USD 0 minutes later,Transfered,2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,USDC,45000,45017.48
0,Exploiter Transfered 5000USDC to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 5001.94USD 0 minutes later,Transfered,2022-10-11 22:38:56.000,WY3j6RxCco7JoVwKD39XQN9bV4FZfNBanegdtgq1m4XtJ4JD1xjmtWCphtS6nLcBrpdpLtUFTaXCVwbPuhnUTnZ,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,5000,5001.94
0,Exploiter Transfered 144948MNGO from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 5716.14USD 0 minutes later,Transfered,2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,MNGO,144948,5716.14
0,Exploiter Swapped 70000USDC to 144948.003805MNGO worth 70025.25USD 0 minutes later,Swapped,2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,to 144948.003805MNGO,USDC,70000,70025.25
0,Exploiter Transfered 30000USDC to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 30011.65USD 0 minutes later,Transfered,2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,30000,30011.65
2,Exploiter Transfered 70000USDC to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 70027.19USD 2 minutes later,Transfered,2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,USDC,70000,70027.19
0,Exploiter Transfered 61374MNGO from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 2420.33USD 0 minutes later,Transfered,2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,MNGO,61374,2420.33
0,Exploiter Transfered 0.37USDC from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 0.37USD 0 minutes later,Transfered,2022-10-11 22:40:21.000,5Ya4GfmxWR7V49BWdo6dnpy4AhNg2SPAX9cLuEaAkVEKmFzULpYQ93bWnjwfwmVF2tvucqQ5R9a6KF1JDfTWtRr1,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,0.37,0.37
1,Exploiter Transfered 2807721USDC from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S worth 2808811.47USD 1 minutes later,Transfered,2022-10-11 22:41:12.000,4jatvkAye4VEXi3r3hCQLVTzCZSggavooEFfQiZRWZzfHC7hZBiYY4oiSPwy7N1h5cx2myuDU8JWzUyoF6v1RrY1,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S,USDC,2807721,2808811.47
0,Exploiter Transfered 3266426USDT from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S worth 3268099.03USD 0 minutes later,Transfered,2022-10-11 22:41:30.000,4SGNioHMRi4Mz3ixCjomTnDVCEX3a4PGQVWkDGQhwyoMJSB8wxTX919hwyaRazBDwkKcv1SqAZVXwkYbpGjZttVE,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 9BVcYqEQxyccuwznvxXqDkSJFavvTyheiTYk231T1A8S,USDT,3266426,3268099.03
0,Exploiter Transfered 0.24USDC from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 0.24USD 0 minutes later,Transfered,2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,0.24,0.24
2,Exploiter Swapped 95000USDC to 300049.675433MNGO worth 95034.26USD 2 minutes later,Swapped,2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,yUJw9a2PyoqKkH47i4yEGf4WXomSHMiK7Lp29Xs2NqM,to 300049.675433MNGO,USDC,95000,95034.26
0,Exploiter Transfered 300049.68MNGO from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 11832.7USD 0 minutes later,Transfered,2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,from 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,MNGO,300049.68,11832.7
0,Exploiter Transfered 95000USDC to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1 worth 95036.9USD 0 minutes later,Transfered,2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to 5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,USDC,95000,95036.9
0,Exploiter Transfered 5000USDC to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6 worth 5001.94USD 0 minutes later,Transfered,2022-10-11 22:43:32.000,eJt1Szx1XyxbFsBYc4HWG1hXDMeXkmWVFYQr5KYCH4Zf5mrhNh2RXqfS97LDLe7r2a2m7VBo44GhrAGcBai6GXo,CQvKSNnYtPTZfQRQ5jkHq8q2swJyRsdQLcFcj3EmKFfX,to BFkxdUwW17eANhfs1xNmBqEcegb4EStQxVb5VaMS2dq6,USDC,5000,5001.94
