SYMBOL,VICTIMS,AMOUNT_USD
USDC,6,63294442.46
MSOL,2,26895841.19
SOBTC,2,5252698.68
USDT,1,3268099.03
MNGO,5,2925319.94
SRM,1,1755742.39
SOETH,1,286466.9
FTT,1,275436.19
BNB,1,161335.24
GMT,1,97006.13
RAY,1,51144.21
AVAX,1,29235.32
﻿
