DATE1,TIMEFRAME,LOW,HIGH,OPEN,CLOSE
2025-04-23 00:00:00.000,After_hack,6.013882363,6.047732107,6.013882363,6.047732107
2025-04-22 00:00:00.000,After_hack,5.596254083,6.013882363,5.900056141,6.013882363
2025-04-21 00:00:00.000,After_hack,5.881421092,5.900056141,5.881421092,5.900056141
2025-04-20 00:00:00.000,After_hack,5.742354371,5.881421092,5.742354371,5.881421092
2025-04-19 00:00:00.000,After_hack,5.677091405,5.742354371,5.722953236,5.742354371
2025-04-18 00:00:00.000,After_hack,5.631142432,5.862834648,5.862834648,5.722953236
2025-04-17 00:00:00.000,After_hack,5.844311556,5.862834648,5.85552671,5.862834648
2025-04-16 00:00:00.000,After_hack,5.852728978,5.906217664,5.852728978,5.858135068
2025-04-15 00:00:00.000,After_hack,5.852728978,5.910444163,5.893759661,5.852728978
2025-04-14 00:00:00.000,After_hack,5.718908615,5.894659351,5.718908615,5.894659351
2025-04-13 00:00:00.000,After_hack,5.560915162,5.778412997,5.778412997,5.70588069
2025-04-12 00:00:00.000,After_hack,5.784646803,5.928152813,5.901547611,5.784646803
2025-04-11 00:00:00.000,After_hack,5.623569676,6.24791426,6.24791426,5.867120584
2025-04-10 00:00:00.000,After_hack,6.24791426,6.452026921,6.443434264,6.24791426
2025-04-09 00:00:00.000,After_hack,6.09699413,6.462049938,6.09699413,6.462049938
2025-04-08 00:00:00.000,After_hack,5.958749839,6.098768835,6.020698029,6.098615611
2025-04-07 00:00:00.000,After_hack,5.451008227,6.563812566,6.550477413,6.008795619
2025-04-06 00:00:00.000,After_hack,6.604485546,6.736760495,6.604540763,6.735917297
2025-04-05 00:00:00.000,After_hack,6.556903569,6.604719124,6.556903569,6.604540763
2025-04-04 00:00:00.000,After_hack,6.355586315,6.636552881,6.608281439,6.556903569
2025-04-03 00:00:00.000,After_hack,6.520773006,6.781375256,6.781375256,6.608281439
2025-04-02 00:00:00.000,After_hack,6.724877059,6.803929948,6.728959671,6.781375256
2025-04-01 00:00:00.000,After_hack,6.766764627,7.246315852,7.0697351,6.818272235
2025-03-31 00:00:00.000,After_hack,7.0697351,7.374079065,7.374079065,7.0697351
2025-03-30 00:00:00.000,After_hack,6.441337734,7.467765383,6.458053034,7.467765383
2025-03-29 00:00:00.000,After_hack,6.344610201,6.452324933,6.438095382,6.452324933
2025-03-28 00:00:00.000,After_hack,6.159272006,6.469699984,6.34398644,6.246994274
2025-03-27 00:00:00.000,After_hack,5.988669831,6.452133134,6.051497754,6.34398644
2025-03-26 00:00:00.000,After_hack,5.930044451,6.430311982,6.430311982,6.051497754
2025-03-25 00:00:00.000,After_hack,6.100573703,6.48149421,6.100573703,6.48149421
2025-03-24 00:00:00.000,After_hack,5.625348383,6.100573703,5.625348383,6.100573703
2025-03-23 00:00:00.000,After_hack,5.513237635,5.625348383,5.513237635,5.625348383
2025-03-22 00:00:00.000,After_hack,5.513059142,5.513237635,5.513142419,5.513237635
2025-03-21 00:00:00.000,After_hack,5.513142419,5.579760621,5.526062345,5.513142419
2025-03-20 00:00:00.000,After_hack,5.45345508,5.561473611,5.471602053,5.526062345
2025-03-19 00:00:00.000,After_hack,5.471602053,5.503986909,5.503986909,5.471602053
2025-03-18 00:00:00.000,After_hack,5.503965837,5.579001231,5.577725968,5.503986909
2025-03-17 00:00:00.000,After_hack,5.512120795,5.579084098,5.512120795,5.579084098
2025-03-16 00:00:00.000,After_hack,5.50962797,5.580233351,5.514929515,5.50962797
2025-03-15 00:00:00.000,After_hack,5.513499876,5.582591881,5.513499876,5.514929515
2025-03-14 00:00:00.000,After_hack,5.513499876,5.660488807,5.660488807,5.513499876
2025-03-13 00:00:00.000,After_hack,5.635660574,5.660488807,5.636031747,5.660488807
2025-03-12 00:00:00.000,After_hack,5.624444214,5.682155243,5.667607436,5.636031747
2025-03-11 00:00:00.000,After_hack,5.473655934,5.733455236,5.732504737,5.667607436
2025-03-10 00:00:00.000,After_hack,5.73246147,5.954783303,5.954783303,5.73246147
2025-03-09 00:00:00.000,After_hack,5.711832179,5.954783303,5.712918532,5.954783303
2025-03-08 00:00:00.000,After_hack,5.563465572,5.713300245,5.636757117,5.713300245
