BLOCK_TIMESTAMP,TX_ID,SWAPPER,ROUTE,AMOUNT,AMOUNT_USD,SWAP_PROGRAM
2022-07-28 05:16:37.000,MDCa95iRsNnvD7qCTCHeWwz7impX6j9V27DVPNLVZAcpEiJcrzniVyw2Gvpeq4jDDY5zqdfj6ksdb5VUKCQsW8x,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,USDH->USDCET,33997.265979,33953.13,jupiter aggregator v3
2022-07-28 05:16:02.000,5yF3VH82Wa3TC4zxdzxmEq4jL3EvSPovHVLG3XASzjHNpiyeSt1t2FF6WrHN94hBJc4AAHb3sUWgsAsupSRuszF7,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,USDT->USDCET,3490564.886721,3491628.49,jupiter aggregator v3
2022-07-28 05:30:25.000,4H82r24pnzHSvtQRayQPeSRdRv6NM5SaSaua14iZ5qdnJjjST1H8vpVENGCPbn1fskxCXceNQtGE7CeL1kn2mgtf,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,SOL->USDCET,5.678982001,224.7,jupiter aggregator v3
2022-07-28 05:27:45.000,582opTLLhZs2zp2VakJqpWxkZcZGpNVE6RgZm6efWsA89W917AveDKbVmwkScS3CBFpkK4nHfYvQ4FGYNe1hg69o,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,1427.47,jupiter aggregator v3
2022-07-28 05:27:18.000,LgFF8XeYGbDLz5zoGWmaSQGB2Cira7fnovj8aPw4KZsiAbCMD9H5jiHBqqxAHgaLBzLTrHvk7MhY83f9RQmJVi7,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,2847.74,jupiter aggregator v3
2022-07-28 05:28:07.000,2FMFn9u9Ca4aYo9mosMUG2x93myAy9qdzwagCBZDFdZNqBKVpmBz3Lu5VFjoXdYkBupzqd3w4Hy4ABL21u67tfrP,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,991.02,jupiter aggregator v3
2022-07-28 05:27:09.000,cYqXEst7PbZom41pTGjDw3WcsTkfaQTc2VKTSzrxwftxLEaxJYRBHPef95CUpn2qpvE6XEVLpThWZUBkWwKCovp,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,3801.93,jupiter aggregator v3
2022-07-28 05:27:56.000,2pK4CYf45WUaa1HLcrAxxzqggXtkgBqHeSGhfKpWJRbgimiXf43ETF2ghNyHWdiiX4Pqm7A5Ny8odAXL98y81Hac,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,1197.54,jupiter aggregator v3
2022-07-28 05:26:57.000,5TJ3AVt9YiJnyjZLYoCfkeVa6yjR1YNqionAPPVKJYXAZp8QTUviNvurRKmBjjBdCRFKpSi7QNSVew29xt2frKGn,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,5453.3,jupiter aggregator v3
2022-07-28 05:26:39.000,5kpvNHvbZgeqxBKhkZ3LtZ7xvJP65BBJB7enpMnJnAqaNSVBVoisSKigXyiRnsbCXik2W3vDB5Bq92tFDpJhvHac,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,6898.34,jupiter aggregator v3
2022-07-28 05:27:36.000,ffzCcTA8aUv9YEnrhMfpmipdVp8VqHxJGHTGqdLvbRUdDsV29TaHXjDx8Dpj6BBQMyVbMoe32cT3YBzeDQwUTuZ,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,1716.04,jupiter aggregator v3
2022-07-28 05:27:27.000,5G3RyMKj1159REFtUBJwY3AbNR9YktjwhEhcNBLLzk3gstwWS84t3FfB1vpKDdPefrZBNB7N1s8j2paC6L6pVgNZ,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDCET,1000,2210.89,jupiter aggregator v3
2022-07-28 05:16:18.000,23Rh6yLNy5JTDgWLWawPMWLtj5L1nbMsgB7AyYg3cKw9yfvmUHuWGDUiiuqgf4PrzCwi9gM2F9RFvv3VvVyLq3W1,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,USDC->USDCET,21902.672271,21883.13,jupiter aggregator v3
2022-07-28 00:50:12.000,5DvarZSU6XP8DZgZbsEHPsjhnQMDebVUtQxGbTzZLGDyK4UaHQrzyd8poRm9rFk7sP9FS1x6YKLmcEKwSkgkEtxK,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,SOL->USDH,0.029999999,1.19,jupiter aggregator v3
2022-07-28 00:49:53.000,4svojLrBvAFEX7VCnAqadmEwRWvqFi4JRqsufJ7cR8AfchGfdhqCN8w83sjjm2twAQ3VBMjkatsL9fAnUYnqzGxs,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,SOL->USDT,0.03,1.19,jupiter aggregator v3
2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,INF->USDC,0.028482794,1.19,Raydium Liquidity Pool V4
2022-07-28 00:49:33.000,3kWwQfvFaT6uwXsAfiZ4zJLAVdQhPNHbL9d3TLV7rpXcRCWDZyogidEDBaqxsLCPHxqua2xow6zDibm5iF868X9q,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,SOL->USDC,0.03,1.19,jupiter aggregator v3
2022-07-28 05:28:07.000,2FMFn9u9Ca4aYo9mosMUG2x93myAy9qdzwagCBZDFdZNqBKVpmBz3Lu5VFjoXdYkBupzqd3w4Hy4ABL21u67tfrP,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,991.03,Raydium Liquidity Pool V4
2022-07-28 05:27:56.000,2pK4CYf45WUaa1HLcrAxxzqggXtkgBqHeSGhfKpWJRbgimiXf43ETF2ghNyHWdiiX4Pqm7A5Ny8odAXL98y81Hac,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,1197.55,Raydium Liquidity Pool V4
2022-07-28 05:26:57.000,5TJ3AVt9YiJnyjZLYoCfkeVa6yjR1YNqionAPPVKJYXAZp8QTUviNvurRKmBjjBdCRFKpSi7QNSVew29xt2frKGn,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,5453.31,Raydium Liquidity Pool V4
2022-07-28 05:27:18.000,LgFF8XeYGbDLz5zoGWmaSQGB2Cira7fnovj8aPw4KZsiAbCMD9H5jiHBqqxAHgaLBzLTrHvk7MhY83f9RQmJVi7,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,2847.76,Raydium Liquidity Pool V4
2022-07-28 05:27:45.000,582opTLLhZs2zp2VakJqpWxkZcZGpNVE6RgZm6efWsA89W917AveDKbVmwkScS3CBFpkK4nHfYvQ4FGYNe1hg69o,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,1427.48,Raydium Liquidity Pool V4
2022-07-28 05:27:09.000,cYqXEst7PbZom41pTGjDw3WcsTkfaQTc2VKTSzrxwftxLEaxJYRBHPef95CUpn2qpvE6XEVLpThWZUBkWwKCovp,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,3801.96,Raydium Liquidity Pool V4
2022-07-28 05:27:36.000,ffzCcTA8aUv9YEnrhMfpmipdVp8VqHxJGHTGqdLvbRUdDsV29TaHXjDx8Dpj6BBQMyVbMoe32cT3YBzeDQwUTuZ,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,1716.06,Raydium Liquidity Pool V4
2022-07-28 05:27:27.000,5G3RyMKj1159REFtUBJwY3AbNR9YktjwhEhcNBLLzk3gstwWS84t3FfB1vpKDdPefrZBNB7N1s8j2paC6L6pVgNZ,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,2210.91,Raydium Liquidity Pool V4
2022-07-28 05:26:39.000,5kpvNHvbZgeqxBKhkZ3LtZ7xvJP65BBJB7enpMnJnAqaNSVBVoisSKigXyiRnsbCXik2W3vDB5Bq92tFDpJhvHac,76w4SBe2of2wWUsx2FjkkwD29rRznfvEkBa1upSbTAWH,ANA->USDC,1000,6898.38,Raydium Liquidity Pool V4
﻿
