TIMESPAN,PLATFORM,DIRECTION,SYMBOL,AMOUNT,AMOUNT_USD
2022-02-02 15:23:00.000,wormhole,inbound,ETH,0.1,273.631965737
2022-02-02 18:25:00.000,wormhole,outbound,ETH,10000,27363196.5737318
2022-02-02 18:27:00.000,wormhole,outbound,ETH,80000,218905572.589855
2022-02-02 18:24:00.000,wormhole,inbound,ETH,120000,328358358.884782
2022-02-02 18:30:00.000,wormhole,outbound,ETH,3750,10261198.7151494
﻿
