TIME_GAP,NARRATION,EVENT,BLOCK_TIMESTAMP,TX_ID,EXPLOITER,ROUTE,SYMBOL,AMOUNT,AMOUNT_USD
0,Exploiter Transfered 68166.88DAI to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 68147.32USD 0 days later,Transfered,2023-01-24 00:25:28.000,4bCT6xsxP7335mcg2qJcH1NjfL4nxyz5oAsV6bFM4BBJyr3EyJS9BmWeQuuu8cgiwaSXFEYAKSQqtoU1GEacQJVb,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,DAI,68166.88,68147.32
0,Exploiter Transfered 67969.83DAI from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 67950.33USD 0 days later,Transfered,2023-01-24 00:26:26.000,3PrpLqHqz4qwSWR44wVTamitQad46MEsU4NDfgFayfry5XYYgRc2W8b66fL7JTzysbozu3kZhmaSMqdLkg6vLXhV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,DAI,67969.83,67950.33
0,Exploiter Transfered 70000USDC to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 70039.37USD 0 days later,Transfered,2023-01-24 00:26:26.000,3PrpLqHqz4qwSWR44wVTamitQad46MEsU4NDfgFayfry5XYYgRc2W8b66fL7JTzysbozu3kZhmaSMqdLkg6vLXhV,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDC,70000,70039.37
0,Exploiter Transfered 64050.14DAI from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 64031.77USD 0 days later,Transfered,2023-01-24 00:27:23.000,QstCTfMxZFMyYNLShttVkkeqRRYVo3hqY6khL18v8GC6xq1BYzuqkHtpmorerDjGyZxJbwM7PpXsNV2ZNESQiHU,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,DAI,64050.14,64031.77
0,Exploiter Transfered 70000USDC to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 70039.37USD 0 days later,Transfered,2023-01-24 00:27:23.000,QstCTfMxZFMyYNLShttVkkeqRRYVo3hqY6khL18v8GC6xq1BYzuqkHtpmorerDjGyZxJbwM7PpXsNV2ZNESQiHU,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDC,70000,70039.37
0,Exploiter Transfered 157899.45USDTET to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 158157.46USD 0 days later,Transfered,2023-01-24 00:27:30.000,ykfzhqf8caTnTH5J9RE8EuXyier5KYGRB7xLAzTQJAMW5fyPjpwVpXMkXLz3qsJCP9o45JLGidepzxZHrZDHjCZ,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,USDTET,157899.45,158157.46
0,Exploiter Transfered 132019.97DAI to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq worth 131982.1USD 0 days later,Transfered,2023-01-24 00:29:38.000,56L58zhxaLtgbjVYxFytryiD997THNFKAScmyST8PT3jtVHxcgj2T5Xqprybpf9pGmMpKkxspgGuDzu4SrzdnAPW,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to AuZrspySopxfZUiXY6YxDyfS211KvXLe197kj3M2cLpq,DAI,132019.97,131982.1
0,Exploiter Transfered 100651.45USDC to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 100708.07USD 0 days later,Transfered,2023-01-24 00:31:30.000,Tf9jp8ohJoMpoDX5i2uUYGdgoj1QA6nyg2ErxLzp4jxswQHByMdAGEuX8KUDpGF8Hbgv3XGEgnbKtNrkgbBSKoB,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,to 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDC,100651.45,100708.07
0,Exploiter Transfered 92958.13USDCET from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 93984.87USD 0 days later,Transfered,2023-01-24 00:31:30.000,Tf9jp8ohJoMpoDX5i2uUYGdgoj1QA6nyg2ErxLzp4jxswQHByMdAGEuX8KUDpGF8Hbgv3XGEgnbKtNrkgbBSKoB,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDCET,92958.13,93984.87
0,Exploiter Transfered 100245.86USDTET from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH worth 100409.67USD 0 days later,Transfered,2023-01-24 00:32:21.000,3Wa2K7vH3AbzrsbmRgFDW7KW32VBNUFgr8o2GPeW9nimHChPUo6A5LRMzrhgbJ9TQXWVsobZbs4BFrLwDESQ6HfE,CxegPrfn2ge5dNiQberUrQJkHCcimeR4VXkeawcFBBka,from 3m15qNJDM5zydsYNJzkFYXE7iGCVnkKz1mrmbawrDUAH,USDTET,100245.86,100409.67
